protein	gene	chrom	rates
NP_002181.1	IL17A	6	data/rates/IL17A_NP_002181.1.csv
NP_002200.2	ITGAL	16	data/rates/ITGAL_NP_002200.2.csv
NP_001185562.1	RUNX1T1	8	data/rates/RUNX1T1_NP_001185562.1.csv
NP_001311230.1	RPN2	20	data/rates/RPN2_NP_001311230.1.csv
NP_005507.3	HLA-E	6	data/rates/HLA-E_NP_005507.3.csv
NP_006070.2	CITED2	6	data/rates/CITED2_NP_006070.2.csv
NP_002833.4	PTPRH	19	data/rates/PTPRH_NP_002833.4.csv
NP_065393.1	RTN4	2	data/rates/RTN4_NP_065393.1.csv
NP_001012338.1	NTRK3	15	data/rates/NTRK3_NP_001012338.1.csv
NP_001905.1	CYB5A	18	data/rates/CYB5A_NP_001905.1.csv
NP_009297.2	ABL1	9	data/rates/ABL1_NP_009297.2.csv
NP_000539.2	TSC2	16	data/rates/TSC2_NP_000539.2.csv
NP_003394.1	YY1	14	data/rates/YY1_NP_003394.1.csv
NP_001288246.1	TUFT1	1	data/rates/TUFT1_NP_001288246.1.csv
NP_001130026.1	TLK1	2	data/rates/TLK1_NP_001130026.1.csv
NP_001155133.1	WWC1	5	data/rates/WWC1_NP_001155133.1.csv
NP_001017975.5	HFM1	1	data/rates/HFM1_NP_001017975.5.csv
NP_055079.3	PLK4	4	data/rates/PLK4_NP_055079.3.csv
NP_056053.1	WWC1	5	data/rates/WWC1_NP_056053.1.csv
NP_733821.1	LMNA	1	data/rates/LMNA_NP_733821.1.csv
NP_444253.3	MYLK	3	data/rates/MYLK_NP_444253.3.csv
NP_003906.2	CPNE1	20	data/rates/RBM12_NP_003906.2.csv
NP_002553.3	P2RX7	12	data/rates/P2RX7_NP_002553.3.csv
NP_000234.1	MEFV	16	data/rates/MEFV_NP_000234.1.csv
NP_002451.2	IRF4	6	data/rates/IRF4_NP_002451.2.csv
NP_064627.1	KIF15	3	data/rates/KIF15_NP_064627.1.csv
NP_000567.1	IL1B	2	data/rates/IL1B_NP_000567.1.csv
NP_004482.4	ARHGAP35	19	data/rates/ARHGAP35_NP_004482.4.csv
NP_064445.2	OPN1LW	X	data/rates/OPN1LW_NP_064445.2.csv
NP_001123995.1	CSDE1	1	data/rates/CSDE1_NP_001123995.1.csv
NP_001092010.1	HPSE	4	data/rates/HPSE_NP_001092010.1.csv
NP_001185465.2	MEFV	16	data/rates/MEFV_NP_001185465.2.csv
NP_001185608.1	RUNX1T1	8	data/rates/RUNX1T1_NP_001185608.1.csv
NP_005619.1	SLC1A5	19	data/rates/SLC1A5_NP_005619.1.csv
NP_612508.3	PWWP2B	10	data/rates/PWWP2B_NP_612508.3.csv
NP_005535.1	IRS1	2	data/rates/IRS1_NP_005535.1.csv
NP_002942.2	RPN2	20	data/rates/RPN2_NP_002942.2.csv
NP_724781.1	CSF3R	1	data/rates/CSF3R_NP_724781.1.csv
NP_852664.1	PIK3R1	5	data/rates/PIK3R1_NP_852664.1.csv
NP_001130.1	ALOX12B	17	data/rates/ALOX12B_NP_001130.1.csv
NP_075598.2	FGFR1	8	data/rates/FGFR1_NP_075598.2.csv
NP_006109.2	HAX1	1	data/rates/HAX1_NP_006109.2.csv
NP_004727.2	XPR1	1	data/rates/XPR1_NP_004727.2.csv
NP_001940.1	E2F3	6	data/rates/E2F3_NP_001940.1.csv
NP_002416.1	MMP10	11	data/rates/MMP10_NP_002416.1.csv
NP_056007.1	PLCB1	20	data/rates/PLCB1_NP_056007.1.csv
NP_000213.1	KIT	4	data/rates/KIT_NP_000213.1.csv
NP_005202.2	CSF1R	5	data/rates/CSF1R_NP_005202.2.csv
NP_065109.1	PNPLA2	11	data/rates/PNPLA2_NP_065109.1.csv
NP_061845.2	GDAP1	8	data/rates/GDAP1_NP_061845.2.csv
NP_060264.4	FOCAD	9	data/rates/FOCAD_NP_060264.4.csv
NP_003733.2	ABCB11	2	data/rates/ABCB11_NP_003733.2.csv
NP_005923.3	MIPEP	13	data/rates/MIP_NP_005923.3.csv
NP_573400.3	PTPRT	20	data/rates/PTPRT_NP_573400.3.csv
NP_075556.1	SIGLEC1	20	data/rates/SIGLEC1_NP_075556.1.csv
NP_000199.2	INSR	19	data/rates/INSR_NP_000199.2.csv
NP_002607.2	PER1	17	data/rates/PER1_NP_002607.2.csv
NP_000151.1	GCGR	17	data/rates/GCGR_NP_000151.1.csv
NP_005063.1	SLC12A4	16	data/rates/SLC12A4_NP_005063.1.csv
NP_075044.2	BCL11A	2	data/rates/BCL11A_NP_075044.2.csv
NP_001612.1	AHR	7	data/rates/AHR_NP_001612.1.csv
NP_490597.1	BRD4	19	data/rates/BRD4_NP_490597.1.csv
NP_004272.2	BAG3	10	data/rates/BAG3_NP_004272.2.csv
NP_006507.2	SLC2A1	1	data/rates/SLC2A1_NP_006507.2.csv
NP_663623.1	SLC15A4	12	data/rates/SLC15A4_NP_663623.1.csv
NP_002736.3	MAPK1	22	data/rates/MAPK1_NP_002736.3.csv
NP_000441.2	SELE	1	data/rates/SELE_NP_000441.2.csv
NP_000693.1	ATP1A2	1	data/rates/ATP1A2_NP_000693.1.csv
NP_001008530.1	LGMN	14	data/rates/LGMN_NP_001008530.1.csv
NP_009210.1	U2AF2	19	data/rates/U2AF2_NP_009210.1.csv
NP_001353039.1	PAX4	7	data/rates/PAX4_NP_001353039.1.csv
NP_009016.1	FSTL1	3	data/rates/FSTL1_NP_009016.1.csv
NP_006796.1	HNRNPA0	5	data/rates/HNRNPA0_NP_006796.1.csv
NP_001091954.1	SLC4A4	4	data/rates/SLC4A4_NP_001091954.1.csv
NP_001978.1	ETV6	12	data/rates/ETV6_NP_001978.1.csv
NP_001161861.2	CITED2	6	data/rates/CITED2_NP_001161861.2.csv
NP_003413.2	MZF1	19	data/rates/MZF1_NP_003413.2.csv
NP_001502.1	CXCL1	4	data/rates/CXCL1_NP_001502.1.csv
NP_060484.2	BCL11A	2	data/rates/BCL11A_NP_060484.2.csv
NP_036422.3	TLK1	2	data/rates/TLK1_NP_036422.3.csv
NP_001305114.1	ITGAD	16	data/rates/ITGAD_NP_001305114.1.csv
NP_065789.1	KIDINS220	2	data/rates/KIDINS220_NP_065789.1.csv
NP_001265393.1	DNM1L	12	data/rates/DNM1L_NP_001265393.1.csv
NP_060140.2	OTUB1	11	data/rates/OTUB1_NP_060140.2.csv
NP_002045.1	GCG	2	data/rates/GCG_NP_002045.1.csv
NP_003174.3	ADAM17	2	data/rates/ADAM17_NP_003174.3.csv
NP_004238.3	EFTUD2	17	data/rates/EFTUD2_NP_004238.3.csv
NP_112420.1	HNRNPA1	12	data/rates/HNRNPA1_NP_112420.1.csv
NP_000044.2	ATP7B	13	data/rates/ATP7B_NP_000044.2.csv
NP_001124333.1	CLDN5	22	data/rates/CLDN5_NP_001124333.1.csv
NP_001035.1	SLC6A3	5	data/rates/SLC6A3_NP_001035.1.csv
NP_647475.1	ANGPTL4	19	data/rates/ANGPTL4_NP_647475.1.csv
NP_002368.1	MAS1	6	data/rates/MAS1_NP_002368.1.csv
NP_919253.1	FRMD7	X	data/rates/FRMD7_NP_919253.1.csv
NP_783297.2	TJP1	15	data/rates/TJP1_NP_783297.2.csv
NP_001128214.1	SLC4A4	4	data/rates/SLC4A4_NP_001128214.1.csv
NP_001337074.2	PATJ	1	data/rates/PATJ_NP_001337074.2.csv
NP_001170991.1	ALPL	1	data/rates/ALPL_NP_001170991.1.csv
NP_001129110.1	PIP5K1A	1	data/rates/PIP5K1A_NP_001129110.1.csv
NP_000684.2	ALDH1A3	15	data/rates/ALDH1A3_NP_000684.2.csv
NP_963863.2	SMG7	1	data/rates/SMG7_NP_963863.2.csv
NP_002521.2	NTRK3	15	data/rates/NTRK3_NP_002521.2.csv
NP_008829.3	HOXD3	2	data/rates/HOXD3_NP_008829.3.csv
NP_001104262.1	MECP2	X	data/rates/MECP2_NP_001104262.1.csv
NP_006036.1	ATP9A	20	data/rates/ATP9A_NP_006036.1.csv
NP_054799.4	DUOX2	15	data/rates/DUOX2_NP_054799.4.csv
NP_000223.1	SGCB	4	data/rates/SGCB_NP_000223.1.csv
NP_113667.1	INHBE	12	data/rates/INHBE_NP_113667.1.csv
NP_004654.1	RAB11A	15	data/rates/RAB11A_NP_004654.1.csv
NP_060439.2	IWS1	2	data/rates/IWS1_NP_060439.2.csv
NP_741983.2	TRIM35	8	data/rates/TRIM35_NP_741983.2.csv
NP_004647.1	BAP1	3	data/rates/BAP1_NP_004647.1.csv
NP_002737.2	MAPK3	16	data/rates/MAPK3_NP_002737.2.csv
NP_001167538.1	FGFR1	8	data/rates/FGFR1_NP_001167538.1.csv
NP_004902.1	PDIA4	7	data/rates/PDIA4_NP_004902.1.csv
NP_036192.2	DNM1L	12	data/rates/DNM1L_NP_036192.2.csv
NP_001229820.1	CSDE1	1	data/rates/CSDE1_NP_001229820.1.csv
NP_361014.1	FBXW7	4	data/rates/FBXW7_NP_361014.1.csv
NP_000296.2	PON2	7	data/rates/PON2_NP_000296.2.csv
NP_000751.1	CSF3R	1	data/rates/CSF3R_NP_000751.1.csv
NP_001287954.2	TJP1	15	data/rates/TJP1_NP_001287954.2.csv
NP_009138.1	DUSP10	1	data/rates/DUSP10_NP_009138.1.csv
NP_001341275.1	C1R	12	data/rates/C1R_NP_001341275.1.csv
NP_001139434.1	SLC12A4	16	data/rates/SLC12A4_NP_001139434.1.csv
NP_663634.2	IL27	16	data/rates/MYDGF_NP_663634.2.csv
NP_859066.1	CRTC2	1	data/rates/CRTC2_NP_859066.1.csv
NP_001316324.1	VMP1	17	data/rates/VMP1_NP_001316324.1.csv
NP_000538.3	TPO	2	data/rates/TPO_NP_000538.3.csv
NP_003457.1	PAX8	2	data/rates/PAX8_NP_003457.1.csv
NP_056006.1	SIK2	11	data/rates/SIK2_NP_056006.1.csv
NP_001122101.1	BUB1B-PAK6	15	data/rates/PAK6_NP_001122101.1.csv
NP_001186747.1	ARMCX5-GPRASP2	X	data/rates/GPRASP2_NP_001186747.1.csv
NP_001338661.1	ZNF660-ZNF197	3	data/rates/ZNF197_NP_001338661.1.csv
NP_001034662.3	SEC14L1	17	data/rates/SEC14L1_NP_001034662.3.csv
NP_001885.1	CSNK1E	22	data/rates/CSNK1E_NP_001885.1.csv
NP_859060.3	RFLNA	12	data/rates/RFLNA_NP_859060.3.csv
NP_001276841.1	TPTEP2-CSNK1E	22	data/rates/CSNK1E_NP_001276841.1.csv
NP_001263646.1	PAK6	15	data/rates/PAK6_NP_001263646.1.csv
NP_001310222.1	ZNF197	3	data/rates/ZNF197_NP_001310222.1.csv
NP_001191777.1	TNFAIP8L2-SCNM1	1	data/rates/SCNM1_NP_001191777.1.csv
NP_001191228.1	ZNF664-RFLNA	12	data/rates/RFLNA_NP_001191228.1.csv
NP_001186219.1	PHOSPHO2-KLHL23	2	data/rates/KLHL23_NP_001186219.1.csv
NP_001004051.1	GPRASP2	X	data/rates/GPRASP2_NP_001004051.1.csv
NP_036577.2	SPON2	4	data/rates/SPON2_NP_036577.2.csv
NP_653312.2	KLHL23	2	data/rates/KLHL23_NP_653312.2.csv
NP_002994.4	SEC14L1	17	data/rates/SEC14L1_NP_002994.4.csv
NP_056442.2	LDLRAP1	1	data/rates/LDLRAP1_NP_056442.2.csv
NP_775760.3	MROH2B	5	data/rates/MROH2B_NP_775760.3.csv
NP_653181.1	GLMP	1	data/rates/GLMP_NP_653181.1.csv
NP_115618.3	PLXNA1	3	data/rates/PLXNA1_NP_115618.3.csv
NP_036314.2	FOXB1	15	data/rates/FOXB1_NP_036314.2.csv
NP_003536.1	H4C5	6	data/rates/HIST1H4E_NP_003536.1.csv
NP_874367.1	EBF1	5	data/rates/EBF1_NP_874367.1.csv
NP_001307582.1	NUP88	17	data/rates/NUP88_NP_001307582.1.csv
NP_001277289.1	EBF1	5	data/rates/EBF1_NP_001277289.1.csv
NP_005490.1	UBA2	19	data/rates/UBA2_NP_005490.1.csv
NP_054836.2	HAPSTR1	16	data/rates/C16orf72_NP_054836.2.csv
NP_002202.2	ITGB1	10	data/rates/ITGB1_NP_002202.2.csv
NP_001835.3	COL2A1	12	data/rates/COL2A1_NP_001835.3.csv
NP_001128571.1	TMPRSS2	21	data/rates/TMPRSS2_NP_001128571.1.csv
NP_000341.2	ABCA4	1	data/rates/ABCA4_NP_000341.2.csv
NP_783328.1	DNMT3A	2	data/rates/DNMT3A_NP_783328.1.csv
NP_001116513.2	CCR2	3	data/rates/CCR2_NP_001116513.2.csv
NP_000780.1	ACE	17	data/rates/ACE_NP_000780.1.csv
NP_006735.2	RBP4	10	data/rates/RBP4_NP_006735.2.csv
NP_066012.1	METTL14	4	data/rates/METTL14_NP_066012.1.csv
NP_391988.1	ITGB1	10	data/rates/ITGB1_NP_391988.1.csv
NP_059138.1	TLR9	3	data/rates/TLR9_NP_059138.1.csv
NP_005021.2	PLK1	16	data/rates/PLK1_NP_005021.2.csv
NP_001377.1	DPYSL2	8	data/rates/DPYSL2_NP_001377.1.csv
NP_003461.2	USP7	16	data/rates/USP7_NP_003461.2.csv
NP_001077431.1	TCF4	18	data/rates/TCF4_NP_001077431.1.csv
NP_004963.1	JAK2	9	data/rates/JAK2_NP_004963.1.csv
NP_001230155.2	TCF4	18	data/rates/TCF4_NP_001230155.2.csv
NP_000312.2	RB1	13	data/rates/RB1_NP_000312.2.csv
NP_054828.2	ATAD2	8	data/rates/ATAD2_NP_054828.2.csv
NP_001184222.1	DPYSL2	8	data/rates/DPYSL2_NP_001184222.1.csv
NP_001012302.2	ANO9	11	data/rates/ANO9_NP_001012302.2.csv
NP_004813.2	NTN1	17	data/rates/NTN1_NP_004813.2.csv
NP_004122.2	GZMB	14	data/rates/GZMB_NP_004122.2.csv
NP_003024.1	ST3GAL1	8	data/rates/ST3GAL1_NP_003024.1.csv
NP_068579.3	EXOC4	7	data/rates/EXOC4_NP_068579.3.csv
NP_066978.1	CD209	19	data/rates/CD209_NP_066978.1.csv
NP_005643.2	TERF2	16	data/rates/TERF2_NP_005643.2.csv
NP_001828.1	CCR3	3	data/rates/CCR3_NP_001828.1.csv
NP_778233.4	EMC10	19	data/rates/EMC10_NP_778233.4.csv
NP_001639.1	KLK3	19	data/rates/KLK3_NP_001639.1.csv
NP_002171.2	IGHMBP2	11	data/rates/IGHMBP2_NP_002171.2.csv
NP_000760.1	CYP2C19	10	data/rates/CYP2C19_NP_000760.1.csv
NP_060795.1	C9orf72	9	data/rates/C9orf72_NP_060795.1.csv
NP_004412.2	DVL1	1	data/rates/DVL1_NP_004412.2.csv
NP_003611.1	PPM1D	17	data/rates/PPM1D_NP_003611.1.csv
NP_001243125.1	ARAF	X	data/rates/ARAF_NP_001243125.1.csv
NP_000591.1	IL6	7	data/rates/IL6_NP_000591.1.csv
NP_056153.2	ASXL1	20	data/rates/ASXL1_NP_056153.2.csv
NP_055306.1	FOXP2	7	data/rates/FOXP2_NP_055306.1.csv
NP_001177666.1	NFIB	9	data/rates/NFIB_NP_001177666.1.csv
NP_079406.4	HKDC1	10	data/rates/HKDC1_NP_079406.4.csv
NP_005711.1	ARPC1B	7	data/rates/ARPC1B_NP_005711.1.csv
NP_002559.2	PABPC1	8	data/rates/PABPC1_NP_002559.2.csv
NP_112174.2	TRIM8	10	data/rates/TRIM8_NP_112174.2.csv
NP_055448.1	CTR9	11	data/rates/CTR9_NP_055448.1.csv
NP_071285.1	NR1I2	3	data/rates/NR1I2_NP_071285.1.csv
NP_066963.2	KDM6A	X	data/rates/KDM6A_NP_066963.2.csv
NP_001162589.1	STIM2	4	data/rates/STIM2_NP_001162589.1.csv
NP_000028.3	ANK1	8	data/rates/ANK1_NP_000028.3.csv
NP_001026850.1	RUNX3	1	data/rates/RUNX3_NP_001026850.1.csv
NP_000416.1	L1CAM	X	data/rates/L1CAM_NP_000416.1.csv
NP_001339627.1	PTK2	8	data/rates/PTK2_NP_001339627.1.csv
NP_001193922.1	NR1H4	12	data/rates/NR1H4_NP_001193922.1.csv
NP_057354.1	KLF2	19	data/rates/KLF2_NP_057354.1.csv
NP_110406.1	KCNH6	17	data/rates/KCNH6_NP_110406.1.csv
NP_073557.3	DGCR8	22	data/rates/DGCR8_NP_073557.3.csv
NP_001269030.1	YAP1	11	data/rates/YAP1_NP_001269030.1.csv
NP_619527.1	BCL2L11	2	data/rates/BCL2L11_NP_619527.1.csv
NP_005645.1	NR2F1	5	data/rates/NR2F1_NP_005645.1.csv
NP_001245.1	CDC6	17	data/rates/CDC6_NP_001245.1.csv
NP_001230115.1	PIM1	6	data/rates/PIM1_NP_001230115.1.csv
NP_006283.1	TSG101	11	data/rates/TSG101_NP_006283.1.csv
NP_061169.2	PRDM5	4	data/rates/PRDM5_NP_061169.2.csv
NP_055830.1	KDM4B	19	data/rates/KDM4B_NP_055830.1.csv
NP_787058.5	CD86	3	data/rates/CD86_NP_787058.5.csv
NP_777596.2	PCSK9	1	data/rates/PCSK9_NP_777596.2.csv
NP_004929.2	DAPK1	9	data/rates/DAPK1_NP_004929.2.csv
NP_443100.1	IGSF8	1	data/rates/IGSF8_NP_443100.1.csv
NP_001058.2	TOP2A	17	data/rates/TOP2A_NP_001058.2.csv
NP_006564.1	TNFSF13B	13	data/rates/TNFSF13B_NP_006564.1.csv
NP_000124.1	F9	X	data/rates/F9_NP_000124.1.csv
NP_061838.1	TREM2	6	data/rates/TREM2_NP_061838.1.csv
NP_003799.1	TNFSF13	17	data/rates/TNFSF13_NP_003799.1.csv
NP_001364194.1	MAPT	17	data/rates/MAPT_NP_001364194.1.csv
NP_004985.2	MMP9	20	data/rates/MMP9_NP_004985.2.csv
NP_006144.1	NCK1	3	data/rates/NCK1_NP_006144.1.csv
NP_000052.1	BTK	X	data/rates/BTK_NP_000052.1.csv
NP_150092.2	GABRG3	15	data/rates/GABRG3_NP_150092.2.csv
NP_001489.1	GCLC	6	data/rates/GCLC_NP_001489.1.csv
NP_001286.1	CCR1	3	data/rates/CCR1_NP_001286.1.csv
NP_002223.3	KCNA3	1	data/rates/KCNA3_NP_002223.3.csv
NP_079191.2	GRHL2	8	data/rates/GRHL2_NP_079191.2.csv
NP_001078927.1	CTNND1	11	data/rates/CTNND1_NP_001078927.1.csv
NP_001231826.1	PTBP3	9	data/rates/PTBP3_NP_001231826.1.csv
NP_631961.1	TAF15	17	data/rates/TAF15_NP_631961.1.csv
NP_001186309.1	RNF145	5	data/rates/RNF145_NP_001186309.1.csv
NP_005567.2	LOXL1	15	data/rates/LOXL1_NP_005567.2.csv
NP_039250.2	NRG1	8	data/rates/NRG1_NP_039250.2.csv
NP_001258671.1	CSNK1A1	5	data/rates/CSNK1A1_NP_001258671.1.csv
NP_000651.3	TGFB1	19	data/rates/TGFB1_NP_000651.3.csv
NP_003318.1	TNFRSF4	1	data/rates/TNFRSF4_NP_003318.1.csv
NP_001357262.1	EYA1	8	data/rates/EYA1_NP_001357262.1.csv
NP_008858.1	ST3GAL2	16	data/rates/ST3GAL2_NP_008858.1.csv
NP_031391.2	PADI2	1	data/rates/PADI2_NP_031391.2.csv
NP_002094.2	GYS1	19	data/rates/GYS1_NP_002094.2.csv
NP_071505.2	TIA1	2	data/rates/TIA1_NP_071505.2.csv
NP_002293.2	LECT2	5	data/rates/LECT2_NP_002293.2.csv
NP_005132.2	FGB	4	data/rates/FGB_NP_005132.2.csv
NP_000483.3	CFTR	7	data/rates/CFTR_NP_000483.3.csv
NP_892010.2	SPHK1	17	data/rates/SPHK1_NP_892010.2.csv
NP_115647.2	TRAF7	16	data/rates/TRAF7_NP_115647.2.csv
NP_001026865.1	RBFOX2	22	data/rates/RBFOX2_NP_001026865.1.csv
NP_001304020.1	NPY5R	4	data/rates/NPY5R_NP_001304020.1.csv
NP_005737.1	NAMPT	7	data/rates/NAMPT_NP_005737.1.csv
NP_002950.3	SORT1	1	data/rates/SORT1_NP_002950.3.csv
NP_001243019.1	ATF2	2	data/rates/ATF2_NP_001243019.1.csv
NP_001229536.1	NCAM1	11	data/rates/NCAM1_NP_001229536.1.csv
NP_000812.2	GGCX	2	data/rates/GGCX_NP_000812.2.csv
NP_001354872.1	TCF7L2	10	data/rates/TCF7L2_NP_001354872.1.csv
NP_000470.3	AMH	19	data/rates/AMH_NP_000470.3.csv
NP_001182237.1	CGGBP1	3	data/rates/CGGBP1_NP_001182237.1.csv
NP_002159.2	IDH2	15	data/rates/IDH2_NP_002159.2.csv
NP_115943.1	HCAR1	12	data/rates/HCAR1_NP_115943.1.csv
NP_000114.3	ERCC5	13	data/rates/ERCC5_NP_000114.3.csv
NP_001123617.1	YAP1	11	data/rates/YAP1_NP_001123617.1.csv
NP_001309134.1	NRG1	8	data/rates/NRG1_NP_001309134.1.csv
NP_001274273.1	BTK	X	data/rates/BTK_NP_001274273.1.csv
NP_005185.2	CEBPB	20	data/rates/CEBPB_NP_005185.2.csv
NP_001229.1	CCNE1	19	data/rates/CCNE1_NP_001229.1.csv
NP_057646.1	TLR7	X	data/rates/TLR7_NP_057646.1.csv
NP_874365.3	SCRIB	8	data/rates/SCRIB_NP_874365.3.csv
NP_000958.1	RPL3	22	data/rates/RPL3_NP_000958.1.csv
NP_005948.3	MTHFR	1	data/rates/MTHFR_NP_005948.3.csv
NP_000363.1	TYR	11	data/rates/TYR_NP_000363.1.csv
NP_008853.3	SCN3A	2	data/rates/SCN3A_NP_008853.3.csv
NP_000266.2	OCA2	15	data/rates/OCA2_NP_000266.2.csv
NP_001307925.1	FABP3	1	data/rates/FABP3_NP_001307925.1.csv
NP_001340852.1	ARHGEF9	X	data/rates/ARHGEF9_NP_001340852.1.csv
NP_001028.1	SCN1B	19	data/rates/SCN1B_NP_001028.1.csv
NP_001899.1	CTSB	8	data/rates/CTSB_NP_001899.1.csv
NP_001609.2	PARP1	1	data/rates/PARP1_NP_001609.2.csv
NP_000035.2	AR	X	data/rates/AR_NP_000035.2.csv
NP_003354.2	USP4	3	data/rates/USP4_NP_003354.2.csv
NP_000563.1	IL10	1	data/rates/IL10_NP_000563.1.csv
NP_005174.2	CACNA1F	X	data/rates/CACNA1F_NP_005174.2.csv
NP_002728.2	PRKCA	17	data/rates/PRKCA_NP_002728.2.csv
NP_004256.1	FADS2	11	data/rates/FADS2_NP_004256.1.csv
NP_001272453.1	OPRM1	6	data/rates/OPRM1_NP_001272453.1.csv
NP_000337.1	SOX9	17	data/rates/SOX9_NP_000337.1.csv
NP_005260.1	GLI1	12	data/rates/GLI1_NP_005260.1.csv
NP_001424.3	ERN1	17	data/rates/ERN1_NP_001424.3.csv
NP_006008.1	PROM1	4	data/rates/PROM1_NP_006008.1.csv
NP_006094.3	WFDC2	20	data/rates/WFDC2_NP_006094.3.csv
NP_060142.3	TRPM7	15	data/rates/TRPM7_NP_060142.3.csv
NP_001244951.1	GRIA1	5	data/rates/GRIA1_NP_001244951.1.csv
NP_115703.2	ZDHHC16	10	data/rates/ZDHHC16_NP_115703.2.csv
NP_852100.3	C1QTNF3	5	data/rates/C1QTNF3_NP_852100.3.csv
NP_005977.2	SOX1	13	data/rates/SOX1_NP_005977.2.csv
NP_001129193.1	PIWIL2	8	data/rates/PIWIL2_NP_001129193.1.csv
NP_001632.2	APEX1	14	data/rates/APEX1_NP_001632.2.csv
NP_001091738.1	LIG4	13	data/rates/LIG4_NP_001091738.1.csv
NP_001091.1	ACTA1	1	data/rates/ACTA1_NP_001091.1.csv
NP_001782.1	CDC42	1	data/rates/CDC42_NP_001782.1.csv
NP_005244.1	FOSL2	2	data/rates/FOSL2_NP_005244.1.csv
NP_056372.1	CHD5	1	data/rates/CHD5_NP_056372.1.csv
NP_065825.1	MIB1	18	data/rates/MIB1_NP_065825.1.csv
NP_068556.2	FOXA2	20	data/rates/FOXA2_NP_068556.2.csv
NP_116171.3	HAVCR2	5	data/rates/HAVCR2_NP_116171.3.csv
NP_004451.2	FAP	2	data/rates/FAP_NP_004451.2.csv
NP_001121897.1	MUTYH	1	data/rates/TOE1_NP_001121897.1.csv
NP_002388.2	MEF2C	5	data/rates/MEF2C_NP_002388.2.csv
NP_004336.4	CAMP	3	data/rates/CAMP_NP_004336.4.csv
NP_001159435.1	SCN1A	2	data/rates/SCN1A_NP_001159435.1.csv
NP_000122.1	F7	13	data/rates/F7_NP_000122.1.csv
NP_001156685.1	FGFR3	4	data/rates/FGFR3_NP_001156685.1.csv
NP_066918.2	SLC5A6	2	data/rates/SLC5A6_NP_066918.2.csv
NP_478136.1	FBXO32	8	data/rates/FBXO32_NP_478136.1.csv
NP_005091.2	AKAP12	6	data/rates/AKAP12_NP_005091.2.csv
NP_056311.2	VIRMA	8	data/rates/VIRMA_NP_056311.2.csv
NP_598408.1	SLC12A6	15	data/rates/SLC12A6_NP_598408.1.csv
NP_715637.2	FNDC5	1	data/rates/FNDC5_NP_715637.2.csv
NP_002755.1	PRPS1	X	data/rates/PRPS1_NP_002755.1.csv
NP_000594.2	NOS3	7	data/rates/NOS3_NP_000594.2.csv
NP_057662.3	RSF1	11	data/rates/RSF1_NP_057662.3.csv
NP_000391.1	ERCC2	19	data/rates/ERCC2_NP_000391.1.csv
NP_001403.1	EIF1AX	X	data/rates/EIF1AX_NP_001403.1.csv
NP_002515.1	NRAS	1	data/rates/NRAS_NP_002515.1.csv
NP_036472.2	NFATC2	20	data/rates/NFATC2_NP_036472.2.csv
NP_001364410.1	ENAH	1	data/rates/ENAH_NP_001364410.1.csv
NP_001290362.1	FUBP1	1	data/rates/FUBP1_NP_001290362.1.csv
NP_001019801.3	RUNX2	6	data/rates/RUNX2_NP_001019801.3.csv
NP_000172.2	GUSB	7	data/rates/GUSB_NP_000172.2.csv
NP_085128.2	TET1	10	data/rates/TET1_NP_085128.2.csv
NP_056241.3	POC1A	3	data/rates/POC1A_NP_056241.3.csv
NP_006006.3	ARID1A	1	data/rates/ARID1A_NP_006006.3.csv
NP_443198.1	NIBAN1	1	data/rates/FAM129A_NP_443198.1.csv
NP_005420.1	VEGFC	4	data/rates/VEGFC_NP_005420.1.csv
NP_001035233.1	SCN2A	2	data/rates/SCN2A_NP_001035233.1.csv
NP_006754.1	BTG2	1	data/rates/BTG2_NP_006754.1.csv
NP_001007227.1	SPOP	17	data/rates/SPOP_NP_001007227.1.csv
NP_001231611.1	POU2F3	11	data/rates/POU2F3_NP_001231611.1.csv
NP_001180276.1	MEF2C	5	data/rates/MEF2C_NP_001180276.1.csv
NP_742055.1	EYA1	8	data/rates/EYA1_NP_742055.1.csv
NP_775114.1	NFATC2	20	data/rates/NFATC2_NP_775114.1.csv
NP_847898.1	CCR3	3	data/rates/CCR3_NP_847898.1.csv
NP_426359.1	CDC42	1	data/rates/CDC42_NP_426359.1.csv
NP_055518.1	DCAF1	3	data/rates/DCAF1_NP_055518.1.csv
NP_001356389.1	NFIB	9	data/rates/NFIB_NP_001356389.1.csv
NP_001243718.1	CACNA1F	X	data/rates/CACNA1F_NP_001243718.1.csv
NP_073605.4	RBM15	1	data/rates/RBM15_NP_073605.4.csv
NP_001128567.1	FNDC3B	3	data/rates/FNDC3B_NP_001128567.1.csv
NP_001258750.1	TREM2	6	data/rates/TREM2_NP_001258750.1.csv
NP_001230618.1	LETMD1	12	data/rates/LETMD1_NP_001230618.1.csv
NP_056000.1	ARHGEF9	X	data/rates/ARHGEF9_NP_056000.1.csv
NP_000080.2	COL1A2	7	data/rates/COL1A2_NP_000080.2.csv
NP_001278344.1	KDM6A	X	data/rates/KDM6A_NP_001278344.1.csv
NP_005418.1	TP73	1	data/rates/TP73_NP_005418.1.csv
NP_003844.1	IL18RAP	2	data/rates/IL18RAP_NP_003844.1.csv
NP_116126.3	LMNB2	19	data/rates/LMNB2_NP_116126.3.csv
NP_000811.1	GAS6	13	data/rates/GAS6_NP_000811.1.csv
